Player,Team,Age,GP,Win,Lose,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,Rebound,Assist,Turnover,Steal,Block,PF,+/-
Aaron Gordon,ORL,23,5,1,4,32.8,15.2,5.8,12.4,46.8,1.6,4,40,2,3.8,52.6,2.2,5,7.2,3.6,2.6,1.2,0.2,3.2,-15.8
Aaron Holiday,IND,22,3,0,3,4.5,1.7,0.7,1.7,40,0.3,0.7,50,0,0,0,0,0,0,0,0.3,0,0,1,-1
Abdel Nader,OKC,25,3,1,2,1.6,0.7,0.3,0.7,50,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,-0.7
Al Horford,BOS,32,7,5,2,33.8,13.7,4.9,11.6,42,2,4.4,45.2,2,2.4,82.4,1.7,8,9.7,4.1,2.6,0.4,0.9,2.3,6.1
Al-Farouq Aminu,POR,28,8,6,2,31.7,9,2.9,8.4,34.3,1.3,4,31.3,2,2.4,84.2,2.3,5.8,8,1.6,1.3,0.9,0.6,2.6,4.5
Alfonzo McKinnie,GSW,26,9,6,3,9.3,3,1.2,2.7,45.8,0.3,1.4,23.1,0.2,0.3,66.7,0.8,1.8,2.6,0,0.1,0.1,0.1,1.3,-1.8
Amir Johnson,PHI,32,2,2,0,3.5,2,1,1,100,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,-1
Andre Drummond,DET,25,4,0,4,31.8,14.3,6,13.5,44.4,0,0.3,0,2.3,5.3,42.9,5,8,13,2.3,2.8,1.5,1.3,4.3,-24
Andre Iguodala,GSW,35,9,6,3,29,11.8,4.6,8,56.9,1.6,3.7,42.4,1.1,2.4,45.5,1.6,2.6,4.1,4.1,0.7,1,1.3,2.2,10.3
Andrew Bogut,GSW,34,9,6,3,10.9,3.8,1.7,2.7,62.5,0,0,0,0.4,0.6,80,1.7,3.4,5.1,1.6,0.6,0.2,0.3,2.2,-0.4
Anfernee Simons,POR,19,3,2,1,1.4,0.7,0,0.7,0,0,0,0,0.7,1,66.7,0,0,0,0,0,0,0,0.3,-0.3
Aron Baynes,BOS,32,7,5,2,14,2.7,1.1,1.9,61.5,0.3,0.7,40,0.1,0.3,50,0.7,1.7,2.4,0.4,0.7,0.4,0.3,2.6,-3.1
Austin Rivers,HOU,26,7,5,2,19.9,7.6,2.7,5.7,47.5,1.7,3.3,52.2,0.4,0.7,60,0.3,1.6,1.9,0.6,0.9,0.3,0.1,2.9,5
Ben Simmons,PHI,22,8,6,2,35.1,14.5,6.4,10.4,61.4,0,0,0,1.8,3.1,56,2.1,4.9,7,6.6,2.8,1.3,0.9,3.3,7.1
Blake Griffin,DET,30,2,0,2,29,24.5,9,19.5,46.2,3,6.5,46.2,3.5,3.5,100,2,4,6,6,3,1,0,4.5,-5.5
Boban Marjanovic,PHI,30,8,6,2,11.4,7,2.6,4.5,58.3,0,0.3,0,1.8,2.1,82.4,1.5,2.8,4.3,1.4,1.5,0.3,0.4,2.1,-0.6
Bojan Bogdanovic,IND,30,4,0,4,36.9,18,6.3,15.8,39.7,1.8,5.5,31.8,3.8,4.3,88.2,0.8,5,5.8,2.8,1.5,2,0,1.8,-7.8
Brad Wanamaker,BOS,29,3,2,1,4.4,2.3,0.7,2,33.3,0.3,0.3,100,0.7,0.7,100,0,0,0,0.7,0.7,0.3,0,0,-2
Brook Lopez,MIL,31,7,6,1,28.3,9.7,3.6,7.6,47.2,1.6,4.6,34.4,1,1.3,77.8,0.1,4.7,4.9,1.4,0.7,0.1,2.4,2.6,14
Bruce Brown,DET,22,4,0,4,14.2,3.3,1.3,3.5,35.7,0.3,1.3,20,0.5,0.5,100,0.3,1.8,2,0.5,0.5,0.5,0.3,2,-10
Bryn Forbes,SAS,25,7,3,4,30.3,10.7,3.9,8,48.2,2.1,4.4,48.4,0.9,1.3,66.7,0.1,3.4,3.6,1,0.4,0.1,0.1,2,-2.3
CJ McCollum,POR,27,8,6,2,40.2,24.9,9.6,22.1,43.5,3.3,7.9,41.3,2.4,3.4,70.4,0.8,4.9,5.6,4.1,2.3,0.9,0.8,2.4,4.9
