TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Houston Rockets,82,65,17,0.793,3951,9213,3174,6906,46,1256,3470,36.2,1609,2061,78.1,739,2825,3564,1767,1135,699,392,363,1597,1670,695,114,105.6,8.4,55.7,1.56,16.3,25.4,75,50.3,14,55.1,59,98.1,53.1
Toronto Raptors,82,59,23,0.72,3966,9156,3383,7169,47.2,968,2705,35.8,1422,1790,79.4,800,2807,3607,1995,1095,626,500,401,1783,1633,638,112.9,105.1,7.8,59,1.82,17.9,27.4,72.5,50.2,13.5,53.9,57.5,98.11,53.8
Golden State Warriors,82,58,24,0.707,3946,9304,3509,6979,50.3,926,2369,39.1,1360,1668,81.5,691,2877,3568,2402,1265,656,612,300,1607,1516,490,112.7,106.8,5.9,68.5,1.9,20.9,24.3,71.2,49.7,15.3,56.9,60.3,100.43,55.4
Boston Celtics,82,55,27,0.671,3961,8529,3141,6975,45,939,2492,37.7,1308,1697,77.1,767,2878,3645,1842,1148,604,373,364,1618,1571,294,106.7,103.1,3.6,58.6,1.6,17,26.3,73.9,50.4,14.4,51.8,55.2,96.82,51.9
Philadelphia 76ers,82,52,30,0.634,3956,9004,3349,7098,47.2,901,2445,36.9,1405,1868,75.2,893,2996,3889,2221,1353,682,420,417,1811,1670,369,108.3,103.8,4.5,66.3,1.64,19.1,28.6,73.6,52,16.3,53.5,56.8,100.9,54.2
Cleveland Cavaliers,82,50,32,0.61,3946,9091,3311,6950,47.6,981,2636,37.2,1488,1909,77.9,694,2761,3455,1916,1126,582,312,340,1524,1696,77,112,111,1,57.9,1.7,17.5,24.3,73,49.2,13.9,54.7,58.4,98.79,50.2
Portland Trail Blazers,82,49,33,0.598,3951,8661,3222,7132,45.2,845,2308,36.6,1372,1715,80,835,2893,3728,1599,1109,573,423,418,1599,1564,213,108.3,105.5,2.8,49.6,1.44,15,27.9,74.6,51.3,13.9,51.1,54.9,97.2,51
Indiana Pacers,82,48,34,0.585,3951,8656,3345,7083,47.2,741,2010,36.9,1225,1573,77.9,788,2684,3472,1819,1088,721,340,428,1544,1514,113,108.5,107.2,1.3,54.4,1.67,16.8,27.1,72.1,49.6,13.6,52.5,55.7,96.9,50.9
New Orleans Pelicans,82,48,34,0.585,3991,9161,3500,7241,48.3,837,2312,36.2,1324,1716,77.2,712,2923,3635,2195,1223,657,485,344,1570,1669,107,108.4,107.2,1.1,62.7,1.79,19,24,72.6,49.4,14.5,54.1,57.3,101.6,52.5
Oklahoma City Thunder,82,48,34,0.585,3966,8844,3271,7221,45.3,881,2491,35.4,1421,1985,71.6,1024,2671,3695,1750,1147,743,412,377,1653,1750,280,109.9,106.3,3.6,53.5,1.53,15.8,32,72.5,51.5,14.3,51.4,54.6,97.43,50.8
Utah Jazz,82,48,34,0.585,3951,8540,3139,6797,46.2,887,2425,36.6,1375,1766,77.9,740,2807,3547,1839,1205,708,420,380,1608,1683,353,107.2,102.9,4.3,58.6,1.53,17.1,25.6,75.6,50.9,15.1,52.7,56.4,96.72,53.2
Minnesota Timberwolves,82,47,35,0.573,3961,8980,3365,7063,47.6,658,1845,35.7,1592,1980,80.4,848,2593,3441,1861,1021,689,345,382,1495,1710,183,112.3,110.1,2.2,55.3,1.82,17,28.9,72,50.3,12.8,52.3,56.6,96.84,51.8
San Antonio Spurs,82,47,35,0.573,3946,8424,3202,6999,45.7,696,1977,35.2,1324,1715,77.2,849,2777,3626,1868,1078,628,460,318,1408,1619,237,107,104.1,2.9,58.3,1.73,17.3,27.7,74.1,50.8,13.7,50.7,54.3,95.76,52.5
Denver Nuggets,82,46,36,0.561,3976,9020,3338,7102,47,940,2536,37.1,1404,1830,76.7,902,2748,3650,2059,1226,627,404,391,1533,1699,121,111.3,109.9,1.4,61.7,1.68,18.2,30,73.6,51.7,15.1,53.6,57,97.81,51.1
Miami Heat,82,44,38,0.537,3986,8480,3184,6997,45.5,903,2506,36,1209,1601,75.5,763,2801,3564,1862,1178,620,437,378,1648,1587,39,106.1,105.7,0.4,58.5,1.58,17.1,26.1,74.1,50.1,14.7,52,55.1,96.18,50.5
Milwaukee Bucks,82,44,38,0.537,3966,8731,3257,6807,47.8,718,2024,35.5,1499,1915,78.3,688,2579,3267,1905,1135,722,443,366,1752,1633,-25,108.8,109.1,-0.3,58.5,1.68,17.6,24.4,70.9,48,14.1,53.1,57.1,97.16,50.2
Washington Wizards,82,43,39,0.524,3971,8742,3275,7018,46.7,814,2173,37.5,1378,1786,77.2,823,2713,3536,2065,1196,645,353,383,1746,1639,48,108.1,107.6,0.5,63.1,1.73,18.4,27.4,73.2,50.4,14.8,52.5,56,97.72,50.9
LA Clippers,82,42,40,0.512,3941,8937,3302,7004,47.1,777,2196,35.4,1556,2095,74.3,832,2766,3598,1832,1204,628,372,462,1638,1803,3,109.3,109.2,0.2,55.5,1.52,16.5,28.4,71.8,50.4,14.7,52.7,56.4,99.62,49.7
Detroit Pistons,82,39,43,0.476,3961,8509,3208,7129,45,886,2373,37.3,1207,1621,74.5,830,2756,3586,1868,1102,628,317,398,1508,1511,-12,106.5,106.6,-0.1,58.2,1.7,17.1,26.9,74,49.9,13.8,51.2,54.3,96.81,48.9
Charlotte Hornets,82,36,46,0.439,3956,8874,3197,7106,45,824,2233,36.9,1656,2216,74.7,827,2901,3728,1770,1041,559,373,404,1409,1839,21,108.9,108.9,0,55.4,1.7,16.1,27.1,76.3,51.2,12.8,50.8,54.9,98.74,50
Los Angeles Lakers,82,35,47,0.427,3981,8862,3338,7248,46.1,822,2384,34.5,1364,1910,71.4,876,2927,3803,1949,1295,633,388,447,1736,1679,-127,105.9,107.2,-1.3,58.4,1.51,17,27.9,72.9,50.5,15.5,51.7,54.8,100.97,49.1
New York Knicks,82,29,53,0.354,3966,8566,3334,7193,46.4,673,1914,35.2,1225,1557,78.7,859,2752,3611,1912,1208,552,421,389,1682,1509,-292,106.2,109.6,-3.4,57.3,1.58,17.2,28.9,72.7,50.9,15,51,54.4,97.71,48.1
